group,filename,correct,solution_length
experimental,lowtemp/solution_experimental_50.py,1,280
control,lowtemp/solution_control_50.py,0,
experimental,lowtemp/solution_experimental_51.py,1,256
control,lowtemp/solution_control_51.py,0,
experimental,lowtemp/solution_experimental_52.py,1,256
control,lowtemp/solution_control_52.py,0,
experimental,lowtemp/solution_experimental_53.py,1,256
control,lowtemp/solution_control_53.py,1,275
experimental,lowtemp/solution_experimental_54.py,1,285
control,lowtemp/solution_control_54.py,0,
experimental,lowtemp/solution_experimental_55.py,1,280
control,lowtemp/solution_control_55.py,1,280
experimental,lowtemp/solution_experimental_56.py,1,256
control,lowtemp/solution_control_56.py,0,
experimental,lowtemp/solution_experimental_57.py,1,280
control,lowtemp/solution_control_57.py,0,
experimental,lowtemp/solution_experimental_58.py,1,256
control,lowtemp/solution_control_58.py,1,275
experimental,lowtemp/solution_experimental_59.py,1,256
control,lowtemp/solution_control_59.py,1,275
experimental,lowtemp/solution_experimental_60.py,1,256
control,lowtemp/solution_control_60.py,1,275
experimental,lowtemp/solution_experimental_61.py,1,256
control,lowtemp/solution_control_61.py,0,
experimental,lowtemp/solution_experimental_62.py,1,679
control,lowtemp/solution_control_62.py,0,
experimental,lowtemp/solution_experimental_63.py,0,
control,lowtemp/solution_control_63.py,0,
experimental,lowtemp/solution_experimental_64.py,1,256
control,lowtemp/solution_control_64.py,0,
experimental,lowtemp/solution_experimental_65.py,1,256
control,lowtemp/solution_control_65.py,0,
experimental,lowtemp/solution_experimental_66.py,1,256
control,lowtemp/solution_control_66.py,0,
experimental,lowtemp/solution_experimental_67.py,1,256
control,lowtemp/solution_control_67.py,0,
experimental,lowtemp/solution_experimental_68.py,1,256
control,lowtemp/solution_control_68.py,0,
experimental,lowtemp/solution_experimental_69.py,1,256
control,lowtemp/solution_control_69.py,0,
experimental,lowtemp/solution_experimental_70.py,1,256
control,lowtemp/solution_control_70.py,1,280
experimental,lowtemp/solution_experimental_71.py,1,256
control,lowtemp/solution_control_71.py,0,
experimental,lowtemp/solution_experimental_72.py,0,
control,lowtemp/solution_control_72.py,1,275
experimental,lowtemp/solution_experimental_73.py,1,256
control,lowtemp/solution_control_73.py,0,
experimental,lowtemp/solution_experimental_74.py,0,
control,lowtemp/solution_control_74.py,0,
experimental,lowtemp/solution_experimental_75.py,1,256
control,lowtemp/solution_control_75.py,1,275
experimental,lowtemp/solution_experimental_76.py,1,305
control,lowtemp/solution_control_76.py,1,275
experimental,lowtemp/solution_experimental_77.py,1,305
control,lowtemp/solution_control_77.py,0,
experimental,lowtemp/solution_experimental_78.py,1,256
control,lowtemp/solution_control_78.py,0,
experimental,lowtemp/solution_experimental_79.py,1,256
control,lowtemp/solution_control_79.py,0,
experimental,lowtemp/solution_experimental_80.py,1,256
control,lowtemp/solution_control_80.py,1,275
experimental,lowtemp/solution_experimental_81.py,1,256
control,lowtemp/solution_control_81.py,1,275
experimental,lowtemp/solution_experimental_82.py,1,280
control,lowtemp/solution_control_82.py,0,
experimental,lowtemp/solution_experimental_83.py,1,256
control,lowtemp/solution_control_83.py,0,
experimental,lowtemp/solution_experimental_84.py,1,256
control,lowtemp/solution_control_84.py,0,
experimental,lowtemp/solution_experimental_85.py,0,
control,lowtemp/solution_control_85.py,0,
experimental,lowtemp/solution_experimental_86.py,1,256
control,lowtemp/solution_control_86.py,0,
experimental,lowtemp/solution_experimental_87.py,1,256
control,lowtemp/solution_control_87.py,1,280
experimental,lowtemp/solution_experimental_88.py,1,256
control,lowtemp/solution_control_88.py,1,275
experimental,lowtemp/solution_experimental_89.py,1,256
control,lowtemp/solution_control_89.py,0,
experimental,lowtemp/solution_experimental_90.py,1,256
control,lowtemp/solution_control_90.py,0,
experimental,lowtemp/solution_experimental_91.py,1,256
control,lowtemp/solution_control_91.py,0,
experimental,lowtemp/solution_experimental_92.py,0,
control,lowtemp/solution_control_92.py,1,275
experimental,lowtemp/solution_experimental_93.py,1,256
control,lowtemp/solution_control_93.py,1,275
experimental,lowtemp/solution_experimental_94.py,1,725
control,lowtemp/solution_control_94.py,1,275
experimental,lowtemp/solution_experimental_95.py,0,
control,lowtemp/solution_control_95.py,1,280
experimental,lowtemp/solution_experimental_96.py,1,335
control,lowtemp/solution_control_96.py,0,
experimental,lowtemp/solution_experimental_97.py,1,256
control,lowtemp/solution_control_97.py,0,
experimental,lowtemp/solution_experimental_98.py,1,256
control,lowtemp/solution_control_98.py,1,275
experimental,lowtemp/solution_experimental_99.py,1,725
control,lowtemp/solution_control_99.py,0,
experimental,lowtemp/solution_experimental_100.py,1,725
control,lowtemp/solution_control_100.py,0,
experimental,lowtemp/solution_experimental_101.py,1,256
control,lowtemp/solution_control_101.py,0,
experimental,lowtemp/solution_experimental_102.py,1,256
control,lowtemp/solution_control_102.py,0,
experimental,lowtemp/solution_experimental_103.py,1,256
control,lowtemp/solution_control_103.py,0,
experimental,lowtemp/solution_experimental_104.py,0,
control,lowtemp/solution_control_104.py,0,
experimental,lowtemp/solution_experimental_105.py,1,256
control,lowtemp/solution_control_105.py,1,275
experimental,lowtemp/solution_experimental_106.py,0,
control,lowtemp/solution_control_106.py,1,275
experimental,lowtemp/solution_experimental_107.py,1,256
control,lowtemp/solution_control_107.py,1,256
experimental,lowtemp/solution_experimental_108.py,0,
control,lowtemp/solution_control_108.py,1,275
experimental,lowtemp/solution_experimental_109.py,1,275
control,lowtemp/solution_control_109.py,0,
experimental,lowtemp/solution_experimental_110.py,1,256
control,lowtemp/solution_control_110.py,0,
experimental,lowtemp/solution_experimental_111.py,1,256
control,lowtemp/solution_control_111.py,1,275
experimental,lowtemp/solution_experimental_112.py,1,256
control,lowtemp/solution_control_112.py,0,
experimental,lowtemp/solution_experimental_113.py,1,256
control,lowtemp/solution_control_113.py,0,
experimental,lowtemp/solution_experimental_114.py,1,256
control,lowtemp/solution_control_114.py,0,
experimental,lowtemp/solution_experimental_115.py,1,256
control,lowtemp/solution_control_115.py,1,280
experimental,lowtemp/solution_experimental_116.py,1,256
control,lowtemp/solution_control_116.py,1,275
experimental,lowtemp/solution_experimental_117.py,1,256
control,lowtemp/solution_control_117.py,0,
experimental,lowtemp/solution_experimental_118.py,1,285
control,lowtemp/solution_control_118.py,0,
experimental,lowtemp/solution_experimental_119.py,1,256
control,lowtemp/solution_control_119.py,1,256
experimental,lowtemp/solution_experimental_120.py,1,280
control,lowtemp/solution_control_120.py,1,275
experimental,lowtemp/solution_experimental_121.py,1,256
control,lowtemp/solution_control_121.py,1,275
experimental,lowtemp/solution_experimental_122.py,1,256
control,lowtemp/solution_control_122.py,0,
experimental,lowtemp/solution_experimental_123.py,1,280
control,lowtemp/solution_control_123.py,1,275
experimental,lowtemp/solution_experimental_124.py,1,280
control,lowtemp/solution_control_124.py,0,
experimental,lowtemp/solution_experimental_125.py,1,256
control,lowtemp/solution_control_125.py,0,
experimental,lowtemp/solution_experimental_126.py,1,256
control,lowtemp/solution_control_126.py,0,
experimental,lowtemp/solution_experimental_127.py,1,256
control,lowtemp/solution_control_127.py,0,
experimental,lowtemp/solution_experimental_128.py,0,
control,lowtemp/solution_control_128.py,0,
experimental,lowtemp/solution_experimental_129.py,1,256
control,lowtemp/solution_control_129.py,0,
experimental,lowtemp/solution_experimental_130.py,1,256
control,lowtemp/solution_control_130.py,0,
experimental,lowtemp/solution_experimental_131.py,1,256
control,lowtemp/solution_control_131.py,0,
experimental,lowtemp/solution_experimental_132.py,1,256
control,lowtemp/solution_control_132.py,1,275
experimental,lowtemp/solution_experimental_133.py,0,
control,lowtemp/solution_control_133.py,1,256
experimental,lowtemp/solution_experimental_134.py,0,
control,lowtemp/solution_control_134.py,0,
experimental,lowtemp/solution_experimental_135.py,0,
control,lowtemp/solution_control_135.py,1,275
experimental,lowtemp/solution_experimental_136.py,1,725
control,lowtemp/solution_control_136.py,1,275
experimental,lowtemp/solution_experimental_137.py,1,256
control,lowtemp/solution_control_137.py,0,
experimental,lowtemp/solution_experimental_138.py,1,256
control,lowtemp/solution_control_138.py,0,
experimental,lowtemp/solution_experimental_139.py,1,256
control,lowtemp/solution_control_139.py,1,341
experimental,lowtemp/solution_experimental_140.py,1,256
control,lowtemp/solution_control_140.py,0,
experimental,lowtemp/solution_experimental_141.py,1,725
control,lowtemp/solution_control_141.py,0,
experimental,lowtemp/solution_experimental_142.py,1,256
control,lowtemp/solution_control_142.py,0,
experimental,lowtemp/solution_experimental_143.py,1,305
control,lowtemp/solution_control_143.py,1,275
experimental,lowtemp/solution_experimental_144.py,1,609
control,lowtemp/solution_control_144.py,1,275
experimental,lowtemp/solution_experimental_145.py,1,256
control,lowtemp/solution_control_145.py,0,
experimental,lowtemp/solution_experimental_146.py,1,256
control,lowtemp/solution_control_146.py,1,275
experimental,lowtemp/solution_experimental_147.py,1,653
control,lowtemp/solution_control_147.py,1,256
experimental,lowtemp/solution_experimental_148.py,1,725
control,lowtemp/solution_control_148.py,1,275
experimental,lowtemp/solution_experimental_149.py,1,256
control,lowtemp/solution_control_149.py,1,275
experimental,lowtemp/solution_experimental_150.py,1,256
control,lowtemp/solution_control_150.py,1,275
experimental,lowtemp/solution_experimental_151.py,1,725
control,lowtemp/solution_control_151.py,0,
experimental,lowtemp/solution_experimental_152.py,1,256
control,lowtemp/solution_control_152.py,1,275
experimental,lowtemp/solution_experimental_153.py,1,256
control,lowtemp/solution_control_153.py,1,275
experimental,lowtemp/solution_experimental_154.py,1,256
control,lowtemp/solution_control_154.py,1,275
experimental,lowtemp/solution_experimental_155.py,1,256
control,lowtemp/solution_control_155.py,0,
experimental,lowtemp/solution_experimental_156.py,1,256
control,lowtemp/solution_control_156.py,1,275
experimental,lowtemp/solution_experimental_157.py,0,
control,lowtemp/solution_control_157.py,1,275
experimental,lowtemp/solution_experimental_158.py,1,256
control,lowtemp/solution_control_158.py,1,256
experimental,lowtemp/solution_experimental_159.py,0,
control,lowtemp/solution_control_159.py,1,275
experimental,lowtemp/solution_experimental_160.py,1,280
control,lowtemp/solution_control_160.py,1,280
experimental,lowtemp/solution_experimental_161.py,1,653
control,lowtemp/solution_control_161.py,0,
experimental,lowtemp/solution_experimental_162.py,1,256
control,lowtemp/solution_control_162.py,1,275
experimental,lowtemp/solution_experimental_163.py,1,256
control,lowtemp/solution_control_163.py,1,275
experimental,lowtemp/solution_experimental_164.py,1,256
control,lowtemp/solution_control_164.py,0,
experimental,lowtemp/solution_experimental_165.py,1,256
control,lowtemp/solution_control_165.py,1,256
experimental,lowtemp/solution_experimental_166.py,1,256
control,lowtemp/solution_control_166.py,1,280
experimental,lowtemp/solution_experimental_167.py,1,256
control,lowtemp/solution_control_167.py,0,
experimental,lowtemp/solution_experimental_168.py,1,256
control,lowtemp/solution_control_168.py,0,
experimental,lowtemp/solution_experimental_169.py,1,256
control,lowtemp/solution_control_169.py,1,275
experimental,lowtemp/solution_experimental_170.py,1,256
control,lowtemp/solution_control_170.py,1,280
experimental,lowtemp/solution_experimental_171.py,1,256
control,lowtemp/solution_control_171.py,0,
experimental,lowtemp/solution_experimental_172.py,1,341
control,lowtemp/solution_control_172.py,0,
experimental,lowtemp/solution_experimental_173.py,1,256
control,lowtemp/solution_control_173.py,0,
experimental,lowtemp/solution_experimental_174.py,1,280
control,lowtemp/solution_control_174.py,0,
experimental,lowtemp/solution_experimental_175.py,1,256
control,lowtemp/solution_control_175.py,1,275
experimental,lowtemp/solution_experimental_176.py,1,725
control,lowtemp/solution_control_176.py,0,
experimental,lowtemp/solution_experimental_177.py,1,256
control,lowtemp/solution_control_177.py,1,275
experimental,lowtemp/solution_experimental_178.py,1,256
control,lowtemp/solution_control_178.py,1,275
experimental,lowtemp/solution_experimental_179.py,1,256
control,lowtemp/solution_control_179.py,0,
experimental,lowtemp/solution_experimental_180.py,1,256
control,lowtemp/solution_control_180.py,0,
experimental,lowtemp/solution_experimental_181.py,1,256
control,lowtemp/solution_control_181.py,0,
experimental,lowtemp/solution_experimental_182.py,1,743
control,lowtemp/solution_control_182.py,0,
experimental,lowtemp/solution_experimental_183.py,1,280
control,lowtemp/solution_control_183.py,1,280
experimental,lowtemp/solution_experimental_184.py,1,285
control,lowtemp/solution_control_184.py,1,275
experimental,lowtemp/solution_experimental_185.py,1,725
control,lowtemp/solution_control_185.py,1,256
experimental,lowtemp/solution_experimental_186.py,1,320
control,lowtemp/solution_control_186.py,0,
experimental,lowtemp/solution_experimental_187.py,1,679
control,lowtemp/solution_control_187.py,0,
experimental,lowtemp/solution_experimental_188.py,1,582
control,lowtemp/solution_control_188.py,0,
experimental,lowtemp/solution_experimental_189.py,1,285
control,lowtemp/solution_control_189.py,1,275
experimental,lowtemp/solution_experimental_190.py,0,
control,lowtemp/solution_control_190.py,0,
experimental,lowtemp/solution_experimental_191.py,1,725
control,lowtemp/solution_control_191.py,1,275
experimental,lowtemp/solution_experimental_192.py,1,280
control,lowtemp/solution_control_192.py,1,275
experimental,lowtemp/solution_experimental_193.py,1,285
control,lowtemp/solution_control_193.py,1,275
experimental,lowtemp/solution_experimental_194.py,1,256
control,lowtemp/solution_control_194.py,0,
experimental,lowtemp/solution_experimental_195.py,1,256
control,lowtemp/solution_control_195.py,1,275
experimental,lowtemp/solution_experimental_196.py,1,256
control,lowtemp/solution_control_196.py,1,275
experimental,lowtemp/solution_experimental_197.py,1,256
control,lowtemp/solution_control_197.py,1,275
experimental,lowtemp/solution_experimental_198.py,1,256
control,lowtemp/solution_control_198.py,0,
experimental,lowtemp/solution_experimental_199.py,1,653
control,lowtemp/solution_control_199.py,0,
experimental,lowtemp/solution_experimental_200.py,1,725
control,lowtemp/solution_control_200.py,1,280
experimental,lowtemp/solution_experimental_201.py,0,
control,lowtemp/solution_control_201.py,0,
experimental,lowtemp/solution_experimental_202.py,1,347
control,lowtemp/solution_control_202.py,1,275
experimental,lowtemp/solution_experimental_203.py,1,256
control,lowtemp/solution_control_203.py,1,280
experimental,lowtemp/solution_experimental_204.py,1,725
control,lowtemp/solution_control_204.py,1,341
experimental,lowtemp/solution_experimental_205.py,1,256
control,lowtemp/solution_control_205.py,1,280
experimental,lowtemp/solution_experimental_206.py,0,
control,lowtemp/solution_control_206.py,1,275
experimental,lowtemp/solution_experimental_207.py,1,725
control,lowtemp/solution_control_207.py,1,256
experimental,lowtemp/solution_experimental_208.py,1,256
control,lowtemp/solution_control_208.py,1,320
experimental,lowtemp/solution_experimental_209.py,1,256
control,lowtemp/solution_control_209.py,0,
experimental,lowtemp/solution_experimental_210.py,1,256
control,lowtemp/solution_control_210.py,0,
experimental,lowtemp/solution_experimental_211.py,1,280
control,lowtemp/solution_control_211.py,1,280
experimental,lowtemp/solution_experimental_212.py,1,285
control,lowtemp/solution_control_212.py,1,275
experimental,lowtemp/solution_experimental_213.py,1,256
control,lowtemp/solution_control_213.py,0,
experimental,lowtemp/solution_experimental_214.py,1,256
control,lowtemp/solution_control_214.py,1,280
experimental,lowtemp/solution_experimental_215.py,1,256
control,lowtemp/solution_control_215.py,0,
experimental,lowtemp/solution_experimental_216.py,1,256
control,lowtemp/solution_control_216.py,1,280
experimental,lowtemp/solution_experimental_217.py,1,256
control,lowtemp/solution_control_217.py,0,
experimental,lowtemp/solution_experimental_218.py,1,256
control,lowtemp/solution_control_218.py,0,
experimental,lowtemp/solution_experimental_219.py,1,256
control,lowtemp/solution_control_219.py,1,280
experimental,lowtemp/solution_experimental_220.py,1,256
control,lowtemp/solution_control_220.py,0,
experimental,lowtemp/solution_experimental_221.py,1,256
control,lowtemp/solution_control_221.py,0,
experimental,lowtemp/solution_experimental_222.py,1,256
control,lowtemp/solution_control_222.py,0,
experimental,lowtemp/solution_experimental_223.py,1,256
control,lowtemp/solution_control_223.py,1,275
experimental,lowtemp/solution_experimental_224.py,1,256
control,lowtemp/solution_control_224.py,0,
experimental,lowtemp/solution_experimental_225.py,1,725
control,lowtemp/solution_control_225.py,0,
experimental,lowtemp/solution_experimental_226.py,1,256
control,lowtemp/solution_control_226.py,0,
experimental,lowtemp/solution_experimental_227.py,1,256
control,lowtemp/solution_control_227.py,1,275
experimental,lowtemp/solution_experimental_228.py,1,256
control,lowtemp/solution_control_228.py,0,
experimental,lowtemp/solution_experimental_229.py,0,
control,lowtemp/solution_control_229.py,1,275
experimental,lowtemp/solution_experimental_230.py,1,347
control,lowtemp/solution_control_230.py,1,275
experimental,lowtemp/solution_experimental_231.py,1,256
control,lowtemp/solution_control_231.py,0,
experimental,lowtemp/solution_experimental_232.py,1,256
control,lowtemp/solution_control_232.py,0,
experimental,lowtemp/solution_experimental_233.py,1,256
control,lowtemp/solution_control_233.py,1,275
experimental,lowtemp/solution_experimental_234.py,1,256
control,lowtemp/solution_control_234.py,1,280
experimental,lowtemp/solution_experimental_235.py,0,
control,lowtemp/solution_control_235.py,1,256
experimental,lowtemp/solution_experimental_236.py,0,
control,lowtemp/solution_control_236.py,1,275
experimental,lowtemp/solution_experimental_237.py,0,
control,lowtemp/solution_control_237.py,0,
experimental,lowtemp/solution_experimental_238.py,1,256
control,lowtemp/solution_control_238.py,0,
experimental,lowtemp/solution_experimental_239.py,1,280
control,lowtemp/solution_control_239.py,0,
experimental,lowtemp/solution_experimental_240.py,1,256
control,lowtemp/solution_control_240.py,0,
experimental,lowtemp/solution_experimental_241.py,1,653
control,lowtemp/solution_control_241.py,1,275
experimental,lowtemp/solution_experimental_242.py,1,256
control,lowtemp/solution_control_242.py,0,
experimental,lowtemp/solution_experimental_243.py,1,256
control,lowtemp/solution_control_243.py,0,
experimental,lowtemp/solution_experimental_244.py,1,256
control,lowtemp/solution_control_244.py,0,
experimental,lowtemp/solution_experimental_245.py,1,256
control,lowtemp/solution_control_245.py,0,
experimental,lowtemp/solution_experimental_246.py,1,256
control,lowtemp/solution_control_246.py,1,280
experimental,lowtemp/solution_experimental_247.py,0,
control,lowtemp/solution_control_247.py,1,341
experimental,lowtemp/solution_experimental_248.py,1,256
control,lowtemp/solution_control_248.py,0,
experimental,lowtemp/solution_experimental_249.py,1,256
control,lowtemp/solution_control_249.py,0,
experimental,lowtemp/solution_experimental_250.py,1,555
control,lowtemp/solution_control_250.py,1,256
experimental,lowtemp/solution_experimental_251.py,1,256
control,lowtemp/solution_control_251.py,1,275
experimental,lowtemp/solution_experimental_252.py,1,256
control,lowtemp/solution_control_252.py,0,
experimental,lowtemp/solution_experimental_253.py,1,256
control,lowtemp/solution_control_253.py,0,
experimental,lowtemp/solution_experimental_254.py,1,280
control,lowtemp/solution_control_254.py,1,275
experimental,lowtemp/solution_experimental_255.py,1,256
control,lowtemp/solution_control_255.py,0,
experimental,lowtemp/solution_experimental_256.py,0,
control,lowtemp/solution_control_256.py,0,
experimental,lowtemp/solution_experimental_257.py,1,256
control,lowtemp/solution_control_257.py,0,
experimental,lowtemp/solution_experimental_258.py,1,256
control,lowtemp/solution_control_258.py,0,
experimental,lowtemp/solution_experimental_259.py,1,256
control,lowtemp/solution_control_259.py,0,
experimental,lowtemp/solution_experimental_260.py,1,256
control,lowtemp/solution_control_260.py,0,
experimental,lowtemp/solution_experimental_261.py,1,256
control,lowtemp/solution_control_261.py,0,
experimental,lowtemp/solution_experimental_262.py,1,256
control,lowtemp/solution_control_262.py,0,
experimental,lowtemp/solution_experimental_263.py,1,280
control,lowtemp/solution_control_263.py,1,280
experimental,lowtemp/solution_experimental_264.py,1,256
control,lowtemp/solution_control_264.py,1,275
experimental,lowtemp/solution_experimental_265.py,1,256
control,lowtemp/solution_control_265.py,1,275
experimental,lowtemp/solution_experimental_266.py,1,256
control,lowtemp/solution_control_266.py,1,280
experimental,lowtemp/solution_experimental_267.py,1,280
control,lowtemp/solution_control_267.py,0,
experimental,lowtemp/solution_experimental_268.py,1,280
control,lowtemp/solution_control_268.py,1,275
experimental,lowtemp/solution_experimental_269.py,1,582
control,lowtemp/solution_control_269.py,1,275
experimental,lowtemp/solution_experimental_270.py,1,320
control,lowtemp/solution_control_270.py,0,
experimental,lowtemp/solution_experimental_271.py,1,256
control,lowtemp/solution_control_271.py,0,
experimental,lowtemp/solution_experimental_272.py,1,256
control,lowtemp/solution_control_272.py,1,275
experimental,lowtemp/solution_experimental_273.py,1,256
control,lowtemp/solution_control_273.py,0,
experimental,lowtemp/solution_experimental_274.py,1,256
control,lowtemp/solution_control_274.py,1,341
experimental,lowtemp/solution_experimental_275.py,1,366
control,lowtemp/solution_control_275.py,1,275
experimental,lowtemp/solution_experimental_276.py,0,
control,lowtemp/solution_control_276.py,0,
experimental,lowtemp/solution_experimental_277.py,1,256
control,lowtemp/solution_control_277.py,1,275
experimental,lowtemp/solution_experimental_278.py,1,256
control,lowtemp/solution_control_278.py,1,280
experimental,lowtemp/solution_experimental_279.py,1,725
control,lowtemp/solution_control_279.py,0,
experimental,lowtemp/solution_experimental_280.py,1,280
control,lowtemp/solution_control_280.py,0,
experimental,lowtemp/solution_experimental_281.py,1,256
control,lowtemp/solution_control_281.py,1,275
experimental,lowtemp/solution_experimental_282.py,1,256
control,lowtemp/solution_control_282.py,1,320
experimental,lowtemp/solution_experimental_283.py,1,256
control,lowtemp/solution_control_283.py,0,
experimental,lowtemp/solution_experimental_284.py,0,
control,lowtemp/solution_control_284.py,0,
experimental,lowtemp/solution_experimental_285.py,1,256
control,lowtemp/solution_control_285.py,1,275
experimental,lowtemp/solution_experimental_286.py,1,725
control,lowtemp/solution_control_286.py,0,
experimental,lowtemp/solution_experimental_287.py,1,256
control,lowtemp/solution_control_287.py,1,275
experimental,lowtemp/solution_experimental_288.py,1,256
control,lowtemp/solution_control_288.py,0,
experimental,lowtemp/solution_experimental_289.py,1,725
control,lowtemp/solution_control_289.py,0,
experimental,lowtemp/solution_experimental_290.py,1,592
control,lowtemp/solution_control_290.py,1,275
experimental,lowtemp/solution_experimental_291.py,1,256
control,lowtemp/solution_control_291.py,0,
experimental,lowtemp/solution_experimental_292.py,1,256
control,lowtemp/solution_control_292.py,0,
experimental,lowtemp/solution_experimental_293.py,1,725
control,lowtemp/solution_control_293.py,1,256
experimental,lowtemp/solution_experimental_294.py,1,725
control,lowtemp/solution_control_294.py,0,
experimental,lowtemp/solution_experimental_295.py,1,256
control,lowtemp/solution_control_295.py,0,
experimental,lowtemp/solution_experimental_296.py,1,280
control,lowtemp/solution_control_296.py,0,
experimental,lowtemp/solution_experimental_297.py,1,725
control,lowtemp/solution_control_297.py,1,324
experimental,lowtemp/solution_experimental_298.py,1,256
control,lowtemp/solution_control_298.py,1,275
experimental,lowtemp/solution_experimental_299.py,1,256
control,lowtemp/solution_control_299.py,0,
experimental,lowtemp/solution_experimental_300.py,1,725
control,lowtemp/solution_control_300.py,0,
experimental,lowtemp/solution_experimental_301.py,1,725
control,lowtemp/solution_control_301.py,0,
experimental,lowtemp/solution_experimental_302.py,1,256
control,lowtemp/solution_control_302.py,0,
experimental,lowtemp/solution_experimental_303.py,1,256
control,lowtemp/solution_control_303.py,0,
experimental,lowtemp/solution_experimental_304.py,1,256
control,lowtemp/solution_control_304.py,0,
experimental,lowtemp/solution_experimental_305.py,1,679
control,lowtemp/solution_control_305.py,0,
experimental,lowtemp/solution_experimental_306.py,1,416
control,lowtemp/solution_control_306.py,0,
experimental,lowtemp/solution_experimental_307.py,1,256
control,lowtemp/solution_control_307.py,0,
experimental,lowtemp/solution_experimental_308.py,1,256
control,lowtemp/solution_control_308.py,0,
