group,filename,correct,solution_length
experimental,gpt-4o/hightemp/solution_experimental_54.py,1,308
control,gpt-4o/hightemp/solution_control_54.py,1,289
experimental,gpt-4o/hightemp/solution_experimental_55.py,1,528
control,gpt-4o/hightemp/solution_control_55.py,0,
experimental,gpt-4o/hightemp/solution_experimental_56.py,1,274
control,gpt-4o/hightemp/solution_control_56.py,0,
experimental,gpt-4o/hightemp/solution_experimental_57.py,1,328
control,gpt-4o/hightemp/solution_control_57.py,1,303
experimental,gpt-4o/hightemp/solution_experimental_58.py,1,354
control,gpt-4o/hightemp/solution_control_58.py,1,298
experimental,gpt-4o/hightemp/solution_experimental_59.py,1,289
control,gpt-4o/hightemp/solution_control_59.py,1,322
experimental,gpt-4o/hightemp/solution_experimental_60.py,1,288
control,gpt-4o/hightemp/solution_control_60.py,1,314
experimental,gpt-4o/hightemp/solution_experimental_61.py,1,304
control,gpt-4o/hightemp/solution_control_61.py,1,308
experimental,gpt-4o/hightemp/solution_experimental_62.py,1,306
control,gpt-4o/hightemp/solution_control_62.py,0,
experimental,gpt-4o/hightemp/solution_experimental_63.py,1,289
control,gpt-4o/hightemp/solution_control_63.py,1,308
experimental,gpt-4o/hightemp/solution_experimental_64.py,1,295
control,gpt-4o/hightemp/solution_control_64.py,1,340
experimental,gpt-4o/hightemp/solution_experimental_65.py,1,613
control,gpt-4o/hightemp/solution_control_65.py,1,314
experimental,gpt-4o/hightemp/solution_experimental_66.py,1,383
control,gpt-4o/hightemp/solution_control_66.py,1,308
experimental,gpt-4o/hightemp/solution_experimental_67.py,1,707
control,gpt-4o/hightemp/solution_control_67.py,0,
experimental,gpt-4o/hightemp/solution_experimental_68.py,1,568
control,gpt-4o/hightemp/solution_control_68.py,0,
experimental,gpt-4o/hightemp/solution_experimental_69.py,1,344
control,gpt-4o/hightemp/solution_control_69.py,1,287
experimental,gpt-4o/hightemp/solution_experimental_70.py,1,328
control,gpt-4o/hightemp/solution_control_70.py,1,308
experimental,gpt-4o/hightemp/solution_experimental_71.py,1,289
control,gpt-4o/hightemp/solution_control_71.py,1,308
experimental,gpt-4o/hightemp/solution_experimental_72.py,1,271
control,gpt-4o/hightemp/solution_control_72.py,1,289
experimental,gpt-4o/hightemp/solution_experimental_73.py,0,
control,gpt-4o/hightemp/solution_control_73.py,1,289
experimental,gpt-4o/hightemp/solution_experimental_74.py,0,
control,gpt-4o/hightemp/solution_control_74.py,1,293
experimental,gpt-4o/hightemp/solution_experimental_75.py,1,306
control,gpt-4o/hightemp/solution_control_75.py,1,317
experimental,gpt-4o/hightemp/solution_experimental_76.py,1,316
control,gpt-4o/hightemp/solution_control_76.py,1,291
experimental,gpt-4o/hightemp/solution_experimental_77.py,1,309
control,gpt-4o/hightemp/solution_control_77.py,0,
experimental,gpt-4o/hightemp/solution_experimental_78.py,1,316
control,gpt-4o/hightemp/solution_control_78.py,1,308
experimental,gpt-4o/hightemp/solution_experimental_79.py,1,289
control,gpt-4o/hightemp/solution_control_79.py,1,289
experimental,gpt-4o/hightemp/solution_experimental_80.py,1,289
control,gpt-4o/hightemp/solution_control_80.py,0,
experimental,gpt-4o/hightemp/solution_experimental_81.py,1,289
control,gpt-4o/hightemp/solution_control_81.py,0,
experimental,gpt-4o/hightemp/solution_experimental_82.py,1,301
control,gpt-4o/hightemp/solution_control_82.py,1,289
experimental,gpt-4o/hightemp/solution_experimental_83.py,1,287
control,gpt-4o/hightemp/solution_control_83.py,1,289
experimental,gpt-4o/hightemp/solution_experimental_84.py,0,
control,gpt-4o/hightemp/solution_control_84.py,1,308
experimental,gpt-4o/hightemp/solution_experimental_85.py,1,271
control,gpt-4o/hightemp/solution_control_85.py,0,
experimental,gpt-4o/hightemp/solution_experimental_86.py,1,316
control,gpt-4o/hightemp/solution_control_86.py,1,291
experimental,gpt-4o/hightemp/solution_experimental_87.py,1,316
control,gpt-4o/hightemp/solution_control_87.py,1,308
experimental,gpt-4o/hightemp/solution_experimental_88.py,1,289
control,gpt-4o/hightemp/solution_control_88.py,1,275
experimental,gpt-4o/hightemp/solution_experimental_89.py,0,
control,gpt-4o/hightemp/solution_control_89.py,1,289
experimental,gpt-4o/hightemp/solution_experimental_90.py,1,289
control,gpt-4o/hightemp/solution_control_90.py,1,289
experimental,gpt-4o/hightemp/solution_experimental_91.py,1,323
control,gpt-4o/hightemp/solution_control_91.py,1,313
experimental,gpt-4o/hightemp/solution_experimental_92.py,1,289
control,gpt-4o/hightemp/solution_control_92.py,1,289
experimental,gpt-4o/hightemp/solution_experimental_93.py,1,289
control,gpt-4o/hightemp/solution_control_93.py,1,289
experimental,gpt-4o/hightemp/solution_experimental_94.py,1,316
control,gpt-4o/hightemp/solution_control_94.py,0,
experimental,gpt-4o/hightemp/solution_experimental_95.py,1,319
control,gpt-4o/hightemp/solution_control_95.py,1,326
experimental,gpt-4o/hightemp/solution_experimental_96.py,1,289
control,gpt-4o/hightemp/solution_control_96.py,1,316
experimental,gpt-4o/hightemp/solution_experimental_97.py,1,289
control,gpt-4o/hightemp/solution_control_97.py,1,308
experimental,gpt-4o/hightemp/solution_experimental_98.py,1,314
control,gpt-4o/hightemp/solution_control_98.py,1,299
experimental,gpt-4o/hightemp/solution_experimental_99.py,1,295
control,gpt-4o/hightemp/solution_control_99.py,1,340
experimental,gpt-4o/hightemp/solution_experimental_100.py,1,611
control,gpt-4o/hightemp/solution_control_100.py,1,289
